"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"NPR1","na","null","null",-4.8641562
"CCL20","na","null","null",-4.8197727
"CCL4","na","null","null",-4.794696
"IFNB1","na","null","null",-4.7770724
"CH25H","na","null","null",-4.656347
"CD70","na","null","null",-4.542017
"SLC6A12","na","null","null",-4.520257
"GBP4","na","null","null",-4.501966
"RYR2","na","null","null",-4.494355
"IL10RA","na","null","null",-4.4498377
"SOD2","na","null","null",-4.4438233
"KCNK5","na","null","null",-4.430507
"GFPT2","na","null","null",-4.4285655
"BIRC3","na","null","null",-4.424045
"CXCL3","na","null","null",-4.415301
"ANKRD33B","na","null","null",-4.380928
"PELI1","na","null","null",-4.371163
"ASB11","na","null","null",-4.3475575
"GCH1","na","null","null",-4.32594
"CNKSR3","na","null","null",-4.320409
"ICAM1","na","null","null",-4.288219
"NKX3-1","na","null","null",-4.2658124
"HERC5","na","null","null",-4.1955943
"HEY2","na","null","null",-4.1737905
"SDC4","na","null","null",-4.168291
"IL1A","na","null","null",-4.159651
"NRG2","na","null","null",-4.1528654
"ZNF697","na","null","null",-4.1355605
"TNFAIP3","na","null","null",-4.110334
"FZD4","na","null","null",-4.080341
"STX11","na","null","null",-4.0450172
"PTGER4","na","null","null",-4.04379
"LOC101059915","na","null","null",-4.042288
"SGPP2","na","null","null",-3.9971073
"RIPK2","na","null","null",-3.9939945
"RAET1L","na","null","null",-3.9508836
"SERPINB11","na","null","null",-3.9467547
"HIVEP2","na","null","null",-3.8726597
"ADAMTS4","na","null","null",-3.8591807
"ETV3","na","null","null",-3.8307512
"C1orf68","na","null","null",-3.8198733
"WARS","na","null","null",-3.8089042
"LRRN3","na","null","null",-3.8020065
"CHGA","na","null","null",-3.7996972
"DUSP2","na","null","null",-3.7946029
"SOX9","na","null","null",-3.7806647
"S1PR3","na","null","null",-3.7702074
"OTUD1","na","null","null",-3.7625408
"STAT5A","na","null","null",-3.7583947
"PMAIP1","na","null","null",-3.7433228
"CFAP54","na","null","null",-3.7367847
"GATA6","na","null","null",-3.639839
"CFAP57","na","null","null",-3.6309593
"REV3L","na","null","null",-3.6263542
"RAB24","na","null","null",-3.6179223
"IFIH1","na","null","null",-3.6147022
"HDAC9","na","null","null",-3.6114383
"HCAR3","na","null","null",-3.6107807
"CYP21A2","na","null","null",-3.6086571
"WTAP","na","null","null",-3.6070933
"FUT2","na","null","null",-3.5966103
"IL7R","na","null","null",-3.5736434
"ADCY4","na","null","null",-3.5647
"ZC3H12C","na","null","null",-3.5351205
"BMP2","na","null","null",-3.5028803
"PHLDB2","na","null","null",-3.4779513
"INHBA","na","null","null",-3.4527774
"SLC1A3","na","null","null",-3.4404285
"CSF1","na","null","null",-3.438984
"LGALSL","na","null","null",-3.433323
"PODXL","na","null","null",-3.4329798
"NFKB1","na","null","null",-3.4324534
"C20orf96","na","null","null",-3.4314573
"SEMA3D","na","null","null",-3.4271257
"HSD11B2","na","null","null",-3.4265518
"CLTRN","na","null","null",-3.4067643
"NFKBID","na","null","null",-3.3960686
"LOC100129291","na","null","null",-3.3894498
"SLC28A3","na","null","null",-3.3852549
"TRIM36","na","null","null",-3.363588
"ACTL10","na","null","null",-3.340612
"LDHAL6B","na","null","null",-3.327115
"FAM107B","na","null","null",-3.3227124
"ZNF670","na","null","null",-3.322504
"MALSU1","na","null","null",-3.3172503
"NUPR1","na","null","null",-3.3122468
"MFSD14A","na","null","null",-3.298052
"NCF2","na","null","null",-3.2956712
"KCNH7","na","null","null",-3.2906926
"LIF","na","null","null",-3.2597723
"CPEB2","na","null","null",-3.2468908
"EFNB2","na","null","null",-3.2390501
"RSAD2","na","null","null",-3.2290006
"HCAR2","na","null","null",-3.189865
"SLC44A4","na","null","null",-3.186078
"MXD1","na","null","null",-3.1822739
"SP6","na","null","null",-3.176149
"LINC02542","na","null","null",-3.174409
"ZNF844","na","null","null",-3.154902
"EGFLAM","na","null","null",-3.144704
"ZNF442","na","null","null",-3.103354
"TNIP3","na","null","null",-3.1023076
"HLA-DOB","na","null","null",-3.0901117
"ADAMTS9","na","null","null",-3.0782635
"STIM2","na","null","null",-3.0728347
"VEGFA","na","null","null",-3.0716922
