"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"HSPA1B","na","null","null",-3.2535694
"NPIPB6","na","null","null",-2.4107893
"UBA7","na","null","null",-2.3053844
"PSMB8","na","null","null",-2.2820184
"IFI27","na","null","null",-2.2768085
"MX1","na","null","null",-2.2039382
"DNAJB1","na","null","null",-2.1966002
"SCARF1","na","null","null",-2.1903539
"TRANK1","na","null","null",-2.184092
"UBE2L6","na","null","null",-2.1542168
"TMEM140","na","null","null",-2.1476967
"CLU","na","null","null",-2.0803864
"MLKL","na","null","null",-2.012523
"C19orf66","na","null","null",-2.0029306
"IFITM1","na","null","null",-1.9827077
"NLRC5","na","null","null",-1.9769403
"TRIM21","na","null","null",-1.9649001
"OAS3","na","null","null",-1.9480386
"PNLDC1","na","null","null",-1.9435633
"SP110","na","null","null",-1.9244984
"SUSD4","na","null","null",-1.915326
"TRIM25","na","null","null",-1.8898512
"PSMB9","na","null","null",-1.8597866
"MX2","na","null","null",-1.8485396
"RNF213","na","null","null",-1.8398205
"HSPB8","na","null","null",-1.8391625
"C17orf67","na","null","null",-1.83239
"OAS1","na","null","null",-1.8272911
"PROX1","na","null","null",-1.8270525
"IFI6","na","null","null",-1.8152688
"PDZD2","na","null","null",-1.8049952
"PARP12","na","null","null",-1.7925111
"GATA3","na","null","null",-1.7890514
"C1R","na","null","null",-1.7856644
"BST2","na","null","null",-1.7782995
"SP140L","na","null","null",-1.7750208
"BATF2","na","null","null",-1.7627181
"HSH2D","na","null","null",-1.7622738
"CDC42EP4","na","null","null",-1.7614131
"STAT2","na","null","null",-1.7565731
"OSR2","na","null","null",-1.7554446
"HSPA1A","na","null","null",-1.745206
"EXOC3L1","na","null","null",-1.7439028
"BISPR","na","null","null",-1.73928
"CD7","na","null","null",-1.7377465
"CGAS","na","null","null",-1.7196308
"THEMIS2","na","null","null",-1.7119448
"LGALS9","na","null","null",-1.7051662
"IFI35","na","null","null",-1.7029654
"OAS2","na","null","null",-1.6848345
"LAMA2","na","null","null",-1.6786447
"STAT1","na","null","null",-1.6767195
"ZBP1","na","null","null",-1.6717492
"LMO2","na","null","null",-1.6700968
"RGMB","na","null","null",-1.6654514
"SAMHD1","na","null","null",-1.646231
"MYD88","na","null","null",-1.6442602
"KIAA0040","na","null","null",-1.6316993
"SP100","na","null","null",-1.6293622
"HERC6","na","null","null",-1.6096262
"NKD1","na","null","null",-1.6085979
"ISG15","na","null","null",-1.5959522
"C6orf15","na","null","null",-1.5890285
"ARHGEF33","na","null","null",-1.5871326
"GMPR","na","null","null",-1.5698717
"BCL2L13","na","null","null",-1.5581328
"HCG4","na","null","null",-1.5392759
"XAF1","na","null","null",-1.5339191
"MTMR11","na","null","null",-1.5325794
"USP18","na","null","null",-1.531236
"PPM1J","na","null","null",-1.5241209
"VEGFC","na","null","null",-1.52337
"TMEM229B","na","null","null",-1.5203965
"CCNA1","na","null","null",-1.5193616
"SECTM1","na","null","null",-1.5144554
"TYMP","na","null","null",-1.5139902
"ZCCHC2","na","null","null",-1.500526
"TAP1","na","null","null",-1.500282
"FBXO6","na","null","null",-1.4982382
"CXCL16","na","null","null",-1.4974971
"HLA-F","na","null","null",-1.4925827
"IL15RA","na","null","null",-1.4897443
"CD274","na","null","null",-1.4864565
"SLC16A4","na","null","null",-1.4850216
"COL9A2","na","null","null",-1.4798794
"MOV10","na","null","null",-1.4791046
"LOC105370792","na","null","null",-1.4765809
"C3AR1","na","null","null",-1.4760811
"RBFOX3","na","null","null",-1.4664314
"IFITM2","na","null","null",-1.4623971
"RTP4","na","null","null",-1.46232
"PARP10","na","null","null",-1.4615442
"TBR1","na","null","null",-1.4614677
"RXRG","na","null","null",-1.4604135
"ETV7","na","null","null",-1.4578948
"DNAJA4","na","null","null",-1.4536229
"MT1M","na","null","null",-1.4512174
"FGD2","na","null","null",-1.4403505
"TRIM14","na","null","null",-1.4391915
"CBR3","na","null","null",-1.4335749
"PSME1","na","null","null",-1.433333
"APOL3","na","null","null",-1.426228
"STARD5","na","null","null",-1.4251963
"PARP14","na","null","null",-1.4240866
"C5AR1","na","null","null",-1.418226
"BAIAP3","na","null","null",-1.4102272
"IFIT3","na","null","null",-1.4076546
"KRT75","na","null","null",-1.402829
"OGFR","na","null","null",-1.386592
"CYP2J2","na","null","null",-1.3851016
"GABRE","na","null","null",-1.3818948
"WHRN","na","null","null",-1.3802296
"APOBEC3B","na","null","null",-1.372984
"BSN","na","null","null",-1.3703369
"DNAJA1","na","null","null",-1.3702288
"C5orf56","na","null","null",-1.3662714
"HELZ2","na","null","null",-1.366258
"EPSTI1","na","null","null",-1.3629752
"CASP10","na","null","null",-1.3562621
"MICB","na","null","null",-1.3524452
"PARP9","na","null","null",-1.3479581
"TENT5A","na","null","null",-1.3478624
"ATP10A","na","null","null",-1.34257
"MASTL","na","null","null",-1.3417575
"TDRD7","na","null","null",-1.3397535
"CNP","na","null","null",-1.3336556
"TREX1","na","null","null",-1.3268428
"MOB3C","na","null","null",-1.3262209
"PML","na","null","null",-1.3255953
"DLC1","na","null","null",-1.3237418
"LOC286059","na","null","null",-1.323509
"CD34","na","null","null",-1.3214148
"ZCCHC24","na","null","null",-1.3199341
"ACHE","na","null","null",-1.3135976
"DUOXA2","na","null","null",-1.3095556
"APOBEC3F","na","null","null",-1.3079414
"IFI44","na","null","null",-1.3051718
"APOL2","na","null","null",-1.304416
"LAP3","na","null","null",-1.2999557
"INSIG1","na","null","null",-1.2975798
"ADAR","na","null","null",-1.2948331
"IRX5","na","null","null",-1.291974
"IFI44L","na","null","null",-1.2819068
"USP42","na","null","null",-1.2803416
"ANKRD37","na","null","null",-1.2771254
"CMPK2","na","null","null",-1.2766374
"EDN2","na","null","null",-1.2749736
"IRF2","na","null","null",-1.2698492
"IFIT2","na","null","null",-1.2684366
"NMI","na","null","null",-1.2670883
"DTX3L","na","null","null",-1.2660795
"NIPAL4","na","null","null",-1.2633108
"RASGRP3","na","null","null",-1.2623104
"IFIT1B","na","null","null",-1.2599008
"CARD8-AS1","na","null","null",-1.2589236
"SLC15A3","na","null","null",-1.257719
"IL22RA1","na","null","null",-1.2559463
"ZMYND15","na","null","null",-1.253683
"THSD1","na","null","null",-1.2520703
"LAMP3","na","null","null",-1.2468652
"SLC25A28","na","null","null",-1.246801
"IL1R2","na","null","null",-1.2435704
"RNF152","na","null","null",-1.2433021
"TRIB1","na","null","null",-1.2399403
"IFITM3","na","null","null",-1.2399259
"HLA-E","na","null","null",-1.2349354
"LOC102724163","na","null","null",-1.2321109
"SOCS1","na","null","null",-1.2303945
"HLA-C","na","null","null",-1.2242157
"APOBEC3G","na","null","null",-1.2225533
"LY6E","na","null","null",-1.2223816
"KCNS3","na","null","null",-1.2215178
"HLA-B","na","null","null",-1.2169812
"GMNC","na","null","null",-1.2168555
"EHD4","na","null","null",-1.2154151
"TRIM38","na","null","null",-1.2153631
"APOL1","na","null","null",-1.2135245
"ATRIP-TREX1","na","null","null",-1.2126611
"AIM2","na","null","null",-1.2090605
"MMP11","na","null","null",-1.2080805
"MTUS2","na","null","null",-1.206863
"RASL11B","na","null","null",-1.2064776
"RNF114","na","null","null",-1.2059586
"PSME2","na","null","null",-1.205872
"CHSY3","na","null","null",-1.2048784
"MSX2","na","null","null",-1.2045563
"TAP2","na","null","null",-1.2036165
"CFAP45","na","null","null",-1.2021534
"DLX5","na","null","null",-1.2008396
"GBP1","na","null","null",-1.1990232
"PIK3R1","na","null","null",-1.1980295
"CMTR1","na","null","null",-1.1966071
"MCUB","na","null","null",-1.1930782
"RSAD2","na","null","null",-1.1924244
"TRIM69","na","null","null",-1.1847678
"HSPH1","na","null","null",-1.1821209
"ERG","na","null","null",-1.1795716
"IFIT1","na","null","null",-1.1789848
"SYTL3","na","null","null",-1.1779305
"FLT3LG","na","null","null",-1.1762912
"PCGF5","na","null","null",-1.1761571
